Company,Inches,Cpu,Ram,Gpu,OpSys,SSD,Price

HP,16.1,amd ryzen 5 5600h,8gb,integrated graphics,No Os/ Linux,512gb ssd,792.85

Lenovo,14,amd ryzen 7 5700u,8gb,integrated graphics,No Os/ Linux,512gb ssd,561.13

Lenovo,15.6,intel core i5-1335u,8gb,integrated graphics,No Os/ Linux,512gb ssd,788.79

Lenovo,14,intel core i5-1240p,8 gb,integrated graphics,No Os/ Linux,512gb ssd,1499

Asus,15.6,amd ryzen 7 7730u,16gb,integrated graphics,No Os/ Linux,1tb ssd,1163.41

Dell,16,intel core i5-1240p,8gb,integrated graphics,No Os/ Linux,256gb ssd,779.27

Asus,15.6,intel core i7-1165g7,8gb,integrated graphics,No Os/ Linux,512gb ssd,459.25

Apple,15.4,intel core i7 2.6ghz,16gb,radeon pro 555x,MacOs,256gb ssd,747

Dell,15.6,intel core i7-1255u,8gb,integrated graphics,No Os/ Linux,512gb ssd,694.72

Lenovo,15.6,intel core i5-12450h,16gb,rtx 3060,No Os/ Linux,512gb ssd,1314.45

Lenovo,15.6,intel core i5-1135g7,16gb,integrated graphics,No Os/ Linux,512gb ssd,1019.58

Lenovo,15.6,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,512gb ssd,823.34

Lenovo,15.6,intel core i5-1135g7,8 gb,integrated graphics,No Os/ Linux,256gb ssd,879

Dell,15.6,intel core i3-1005g1,8gb,integrated graphics,No Os/ Linux,256gb ssd,688.7

Lenovo,15.6,intel core i5-12450h,16gb,integrated graphics,No Os/ Linux,512gb ssd,599

Alurin,14,intel celeron n4020,8gb,integrated graphics,No Os/ Linux,256gb ssd,229.9

Acer,15.6,intel core i5-13420h,16gb,rtx 3050,No Os/ Linux,1tb ssd,759

HP,15.6,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,628.99

MSI,17.3,intel core i7-13700h,16gb,rtx 4070,No Os/ Linux,1tb ssd,1399

Asus,14,intel core i7-1360p,16gb,integrated graphics,No Os/ Linux,512gb ssd,1259.01

Dell,15.6,amd ryzen 7 5700u,16gb,integrated graphics,No Os/ Linux,512gb ssd,721.42

HP,14,intel core i3-1315u,8gb,integrated graphics,No Os/ Linux,512gb ssd,749.69

Lenovo,14,amd ryzen 5 5500u,8 gb,integrated graphics,No Os/ Linux,512gb ssd,720.94

Lenovo,14,amd ryzen 7 5700u,16gb,integrated graphics,No Os/ Linux,512gb ssd,798.99

Acer,14,intel core i5-1135g7,16gb,integrated graphics,No Os/ Linux,512gb ssd,909.42

Dell,16,amd ryzen 5 5625u,8gb,integrated graphics,No Os/ Linux,256gb ssd,789

HP,15.6,intel core i7-1255u,8gb,integrated graphics,No Os/ Linux,512gb ssd,724.71

Asus,15.6,intel core i7-1165g7,8 gb,integrated graphics,No Os/ Linux,512gb ssd,735.93

Asus,15.6,intel core i5-10300h,16gb,integrated graphics,No Os/ Linux,512gb ssd,794.24

Asus,14,intel core i7-1255u,16gb,integrated graphics,No Os/ Linux,512gb ssd,899.84

Asus,15.6,intel core i7-1255u,16gb,integrated graphics,No Os/ Linux,512gb ssd,706.66

Asus,16,intel core i7-11370h,16gb,integrated graphics,No Os/ Linux,512gb ssd,639

HP,15.6,amd ryzen 7 7730u,16gb,integrated graphics,No Os/ Linux,512gb ssd,1557.28

HP,15.6,intel core i5-1155g7,8gb,integrated graphics,No Os/ Linux,256gb ssd,656.21

HP,15.6,intel core i7-1255u,8gb,integrated graphics,No Os/ Linux,512gb ssd,827.93

HP,16.1,amd ryzen 7 5800h,8gb,integrated graphics,No Os/ Linux,512gb ssd,940.31

Lenovo,15.6,amd ryzen 5 5625u,8gb,integrated graphics,No Os/ Linux,256gb ssd,595.12

Lenovo,15.6,intel core i5-1135g7,8 gb,integrated graphics,No Os/ Linux,512gb ssd,638.52

Asus,14,intel core i3-1215u,8gb,integrated graphics,No Os/ Linux,256gb ssd,654

Asus,15.6,amd ryzen 7 6800h,16gb,rtx3060,No Os/ Linux,512gb ssd,1414.27

Apple,13.3,intel core i5,8gb,integrated graphics,MacOs,128gb ssd,708.99

Dell,14,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,256gb ssd,693.1

HP,17.3,intel core i3-1115g4,8gb,integrated graphics,No Os/ Linux,512gb ssd,650.95

Asus,15.6,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,512gb ssd,739.66

Acer,15.6,intel core i5-1035g1,8gb,integrated graphics,No Os/ Linux,512gb ssd,598.99

Acer,15.6,intel core i7-1255u,16gb,integrated graphics,No Os/ Linux,512gb ssd,636.14

Apple,13.3,intel core i5 1.6ghz,8gb,integrated graphics,MacOs,256gb ssd,659.99

Apple,13.3,intel core i5 2.4ghz,8gb,integrated graphics,MacOs,256gb ssd,707.99

Apple,15,intel core i7,16gb,integrated graphics,MacOs,512gb,766

Dell,14,intel core i5-1135g7,8 gb,integrated graphics,No Os/ Linux,256gb ssd,969.22

HP,15.6,amd ryzen 7 5700u,12gb,integrated graphics,No Os/ Linux,512gb ssd,625.26

HP,15.6,intel core i5-1155g7,8gb,integrated graphics,No Os/ Linux,512gb ssd,670.99

Lenovo,15.6,amd ryzen 5 5500u,16gb,integrated graphics,No Os/ Linux,512gb ssd,711.38

Asus,15.6,amd ryzen 5 7520u,8gb,integrated graphics,No Os/ Linux,512gb ssd,445

Dell,15.6,amd ryzen 5 5500u,8gb,integrated graphics,No Os/ Linux,256gb ssd,538.08

HP,15.6,amd ryzen 7 5700u,8gb,integrated graphics,No Os/ Linux,256gb ssd,642.53

HP,15.6,intel core i5-1135g7,16gb,integrated graphics,No Os/ Linux,512gbssd,659.99

Lenovo,15.6,amd ryzen 7 5700u,8gb,integrated graphics,No Os/ Linux,256gb ssd,560

Lenovo,17.3,intel core i5-1335u,8gb,integrated graphics,No Os/ Linux,512gb ssd,743.77

Asus,14,intel core i5-1135g7,8gb,integrated graphics,No Os/ Linux,512gb ssd,558.99

Lenovo,15.6,intel core i5-12450h,16gb,integrated graphics,No Os/ Linux,512gb ssd,599

Alurin,14,intel celeron n4020,8gb,integrated graphics,No Os/ Linux,256gb ssd,229.9

Acer,15.6,intel core i5-13420h,16gb,rtx 3050,No Os/ Linux,1tb ssd,759

HP,15.6,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,628.99

MSI,17.3,intel core i7-13700h,16gb,rtx 4070,No Os/ Linux,1tb ssd,1399

Asus,14,intel core i7-1360p,16gb,integrated graphics,No Os/ Linux,512gb ssd,1259.01

Asus,16,intel core i5-11300h,8gb,integrated graphics,No Os/ Linux,512gb ssd,740.2

Asus,16,intel core i7-11370h,8gb,integrated graphics,No Os/ Linux,512gb ssd,629.9

Acer,15.6,intel core i5-12450h,16gb,rtx 3050,No Os/ Linux,512gb ssd,652.25

Apple,13,intel core i5,8gb,integrated graphics,MacOs,256gb ssd,659

Apple,13,intel core i5,8gb,integrated graphics,MacOs,512gb ssd,755.99

HP,15.6,intel core i5-1155g7,8gb,integrated graphics,No Os/ Linux,512gb ssd,603.16

HP,15.6,intel core i5-1235u,16 gb,integrated graphics,No Os/ Linux,512 gb ssd,628.99

HP,15.6,amd ryzen 3 5300u,8gb,integrated graphics,No Os/ Linux,1tb ssd,587.85

Lenovo,14,amd ryzen 3 5300u,8gb,integrated graphics,No Os/ Linux,512gb ssd,910.08

Asus,15.6,intel core i7-1165g7,8gb,integrated graphics,No Os/ Linux,512gb ssd,639.13

Apple,12,m3,8gb,integrated graphics,MacOs,256gb,406.99

HP,13.3,intel core i5-10210u,16gb,integrated graphics,No Os/ Linux,512gb ssd,690

HP,13.3,intel core i5-1135g7,8gb,integrated graphics,No Os/ Linux,256gb ssd,612.16

Lenovo,14,intel core i5-1135g7,8gb,integrated graphics,No Os/ Linux,256gb ssd,737.03

Lenovo,14,intel core i5-1135g7,16 gb,integrated graphics,No Os/ Linux,512gb ssd,1593.3

Lenovo,14,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,512gb ssd,648.99

Acer,15.6,intel core i5-1035g1,8gb,integrated graphics,No Os/ Linux,256gb ssd,607.62

HP,15.6.15.6,intel core i3-1115g4,8gb,integrated graphics,No Os/ Linux,256gb ssd,569

MSI,15.6,amd ryzen 5 7530u,16gb,integrated graphics,No Os/ Linux,512gb ssd,616.62

Acer,15.6,intel core i5-1035g1,8gb,integrated graphics,No Os/ Linux,256gb ssd,546.3

Innjoo,14.1,intel celeron n3350,6gb,integrated graphics,No Os/ Linux,128gb ssd,256.52

Asus,15.6,intel core i5-1135g7,8gb,integrated graphics,No Os/ Linux,512gb ssd,617.7

Asus,15.6,intel core i5-1135g7,8gb,integrated graphics,No Os/ Linux,512gb ssd,829.75

Asus,16,intel core i7-11370h,8gb,integrated graphics,No Os/ Linux,512gb ssd,579.9

Acer,15.6,intel core i5-1135g7,8gb,integrated graphics,No Os/ Linux,256gb ssd,648.99

Apple,12,intel core i5,512gb,integrated graphics,MacOs,"12"" gris espacial",465

HP,15.6,amd ryzen 5 7520u,8gb,integrated graphics,No Os/ Linux,512gb ssd,564.1

HP,15.6,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,512gb ssd,698.42

HP,15.6,amd ryzen 7 5700u,16gb,integrated graphics,No Os/ Linux,512gb ssd,649

HP,15.6,intel core i5-1135g7,8gb,integrated graphics,No Os/ Linux,512gb ssd,429

HP,15.6,intel core i5-8265u,8gb,integrated graphics,No Os/ Linux,256gb ssd,494.99

HP,15.6,intel core i5-10210u,8gb,integrated graphics,No Os/ Linux,256gb ssd,549

Lenovo,15.6,amd ryzen 5 3500u,8gb,integrated graphics,No Os/ Linux,512gb ssd,634.53

Lenovo,15.6,amd ryzen 7 5700u,8gb,integrated graphics,No Os/ Linux,512gb ssd,744.9

Lenovo,14,intel core i5-1135g7,8gb,integrated graphics,No Os/ Linux,512gb ssd,1008.81

Asus,15.6,intel core i5-1135g7,8gb,integrated graphics,No Os/ Linux,512gb,691.09

Asus,14,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,512gb ssd,522.1

Acer,15.6,amd ryzen 5 3500u,8gb,integrated graphics,No Os/ Linux,256gb ssd,483.2

Apple,12,m3,8gb,integrated graphics,MacOs,256gb,406.99

Gigabyte,14,intel core i5-1155g7,16gb,integrated graphics,No Os/ Linux,512gb ssd,478.55

Lenovo,15.6,intel core i5-12450h,16gb,integrated graphics,No Os/ Linux,512gb ssd,599

Alurin,14,intel celeron n4020,8gb,integrated graphics,No Os/ Linux,256gb ssd,229.9

Acer,15.6,intel core i5-13420h,16gb,rtx 3050,No Os/ Linux,1tb ssd,759

HP,15.6,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,628.99

MSI,17.3,intel core i7-13700h,16gb,rtx 4070,No Os/ Linux,1tb ssd,1399

Asus,14,intel core i7-1360p,16gb,integrated graphics,No Os/ Linux,512gb ssd,1259.01

HP,15.6,amd ryzen 3 7320u,8gb,integrated graphics,No Os/ Linux,256gb ssd,441.73

HP,15.6,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,512gb ssd,499

HP,15.6,amd ryzen 3 3250u,8 gb,integrated graphics,No Os/ Linux,256gb ssd,481.02

Lenovo,14,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,512gb ssd,869.52

Lenovo,15.6,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,512gb ssd,598.99

MSI,15.6,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,771.24

HP,15.6,amd ryzen 7 5700u,12gb,integrated graphics,No Os/ Linux,512gb ssd,905.39

HP,15.6,amd ryzen 7 5700u,8gb,integrated graphics,No Os/ Linux,512gb ssd,528.3

Asus,15.6,intel core i7-1165g7,8gb,integrated graphics,No Os/ Linux,512gb ssd,549

Asus,16,intel core i5-1135g7,12gb,integrated graphics,No Os/ Linux,512gb ssd,845.88

Acer,15.6,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,512gb ssd,813.09

HP,15.6,intel core i5-8250u,8gb,integrated graphics,No Os/ Linux,256gb ssd,389

Lenovo,15.6,intel core i5-8365u,16gb,integrated graphics,No Os/ Linux,512gb ssd,699.46

MSI,15.6,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,512gb ssd,544.29

Asus,15.6,intel celeron n3350,8gb,integrated graphics,No Os/ Linux,32gb emmc,282.97

Asus,16,intel core i5-11300h,8gb,integrated graphics,No Os/ Linux,512gb ssd,445

Acer,15.6,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,512gb ssd,505

Dell,15.6,amd ryzen 5 3450u,8gb,integrated graphics,No Os/ Linux,256gb ssd,427.27

HP,15.6,amd athlon silver 3050u,8gb,integrated graphics,No Os/ Linux,256gb ssd,483.14

MSI,14,amd ryzen 5 7530u,8gb,integrated graphics,No Os/ Linux,512gb ssd,590.62

Acer,15.6,intel core i3-1215u,8gb,integrated graphics,No Os/ Linux,512gb ssd,484.42

HP,13.3,intel core i5-10210u,8 gb,integrated graphics,No Os/ Linux,256gb ssd,595

Lenovo,15.6,amd ryzen 7 5700u,16gb,integrated graphics,No Os/ Linux,512gb ssd,1156.86

Lenovo,14,intel core i7-8565u,8gb,integrated graphics,No Os/ Linux,512gb ssd,498.03

Microsoft,15,intel core i5-1035g7,8gb,integrated graphics,No Os/ Linux,256gb ssd,618.99

Samsung,15.6,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,512gb ssd,1159.61

Acer,15.6,amd ryzen 5 5500u,8gb,integrated graphics,No Os/ Linux,512gb ssd,2099.28

HP,15.6,amd ryzen 3 5300u,8gb,integrated graphics,No Os/ Linux,256gb ssd,444.6

HP,15.6,amd ryzen 3 5300u,8gb,integrated graphics,No Os/ Linux,256gb ssd,517.28

HP,15.6.365.12.3,intel core i3-1115g4,8gb,integrated graphics,No Os/ Linux,256gb ssd,609.01

Lenovo,14,amd 3015e,4gb,integrated graphics,No Os/ Linux,128gb ssd,667.9

Microsoft,13.5,intel core i5-1035g7,8gb,integrated graphics,No Os/ Linux,256gb ssd,494.34

Acer,15.6,intel core i7-1165g7,16gb,integrated graphics,No Os/ Linux,512gb ssd,511.25

HP,15.6,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,512gb ssd,579.56

HP,13.3,intel core i5-8265u,8gb,integrated graphics,No Os/ Linux,256gb ssd,459

Lenovo,14,intel core i5-1035g1,8gb,integrated graphics,No Os/ Linux,256gb,623.58

Lenovo,15.6,amd ryzen 5 5500u,8 gb,integrated graphics,No Os/ Linux,512gb ssd,453.66

Lenovo,15.6,amd ryzen 3 5300u,8gb,integrated graphics,No Os/ Linux,512gb ssd,470

MSI,15.6,intel core i3-1215u,8gb,integrated graphics,No Os/ Linux,512gb ssd,480.69

Asus,11.6,intel celeron n4500,4gb,integrated graphics,No Os/ Linux,128gb ssd,428.54

Lenovo,15.6,intel core i5-12450h,16gb,integrated graphics,No Os/ Linux,512gb ssd,599

Alurin,14,intel celeron n4020,8gb,integrated graphics,No Os/ Linux,256gb ssd,229.9

Acer,15.6,intel core i5-13420h,16gb,rtx 3050,No Os/ Linux,1tb ssd,759

HP,15.6,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,628.99

MSI,17.3,intel core i7-13700h,16gb,rtx 4070,No Os/ Linux,1tb ssd,1399

Asus,14,intel core i7-1360p,16gb,integrated graphics,No Os/ Linux,512gb ssd,1259.01

Asus,15.6,intel core i3-1115g4,8gb,integrated graphics,No Os/ Linux,256gb ssd,699

Asus,15.6,intel core i3-1115g4,8gb,integrated graphics,No Os/ Linux,256gb ssd,583.47

Asus,15.6,intel core i3-1115g4,8gb,integrated graphics,No Os/ Linux,256gb ssd,424.72

HP,15.6,amd ryzen 5 5500u,8gb,integrated graphics,No Os/ Linux,256gb ssd,586.55

Lenovo,15.6,amd ryzen 5 5500u,8gb,integrated graphics,No Os/ Linux,256gb ssd,550.35

Lenovo,15.6,intel core i3-1115g4,8gb,integrated graphics,No Os/ Linux,256gb ssd,401.8

Asus,15.6,intel core i3-1115g4,8gb,integrated graphics,No Os/ Linux,256gb,531.12

Apple,13.3,macbook air i5,8gb,integrated graphics,MacOs,128gb,280.99

Apple,13,intel core i5,8gb,integrated graphics,MacOs,128gb,528.99

HP,15.6,amd ryzen 3 7320u,8gb,integrated graphics,No Os/ Linux,256gb ssd,449.85

Lenovo,15.6,intel core i5-8250u,8gb,integrated graphics,No Os/ Linux,256gb ssd,437.58

Medion,15.6,intel core i5-1135g7,8gb,integrated graphics,No Os/ Linux,256gb ssd,419.42

Asus,11.6,intel celeron n5100,4gb,integrated graphics,No Os/ Linux,32gb emmc,365.14

HP,15.6,amd athlon silver 3050u,8gb,integrated graphics,No Os/ Linux,256gb ssd,361.01

HP,15.6,amd ryzen 5 5500u,16 gb,integrated graphics,No Os/ Linux,512gb ssd,549

Lenovo,14,intel core i5-8250u,8gb,integrated graphics,No Os/ Linux,256gb ssd,325.94

Asus,11.6,intel celeron n5100,8gb,integrated graphics,No Os/ Linux,64gb emmc,404.23

Acer,15.6,intel core i7-1165g7,8gb,integrated graphics,No Os/ Linux,512gb ssd,512.23

HP,14,intel core i5-8265u,8gb,integrated graphics,No Os/ Linux,256gb ssd,380

Lenovo,14,amd ryzen 3 5300u,8gb,integrated graphics,No Os/ Linux,256gb ssd,1112.47

Lenovo,15.6,amd ryzen 5 5500u,8gb,integrated graphics,No Os/ Linux,512gb ssd,469.99

Medion,15.6,amd ryzen 7 3700u,8 gb,integrated graphics,No Os/ Linux,256gb ssd,388.05

Acer,14,intel core i3-n305,8gb,integrated graphics,No Os/ Linux,512gb ssd,1294.78

Dell,14,intel core i5-8350u,8gb,integrated graphics,No Os/ Linux,512gb ssd,413.65

HP,15.6,intel core i7-1355u,8gb,integrated graphics,No Os/ Linux,512gb ssd,741.19

HP,15.6,intel core i7-1355u,8gb,integrated graphics,No Os/ Linux,512gb ssd,644.41

HP,15.6,intel core i7-1195g7,8gb,integrated graphics,No Os/ Linux,512gb ssd,632.26

HP,15.6,intel core i7-1255u,16gb,integrated graphics,No Os/ Linux,512 gb ssd,678.96

HP,15.6,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,1tb ssd,839

HP,15.6,intel core i5-12450h,16gb,rtx 3050,No Os/ Linux,512gb ssd,878.96

HP,16.1,intel core i7-13700h,16gb,rtx 4050,No Os/ Linux,512gb ssd,1266.82

Lenovo,14,intel core i5-8365u,8gb,integrated graphics,No Os/ Linux,256gb ssd,476.99

Lenovo,15.6,intel core i3-1215u,8gb,integrated graphics,No Os/ Linux,256gb ssd,442.38

Lenovo,15.6,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,512gb ssd,518.2

Asus,11.6,intel celeron n4500,4gb,integrated graphics,No Os/ Linux,32gb emmc,372.18

HP,15.6,amd athlon silver 3050u,8gb,integrated graphics,No Os/ Linux,256gb ssd,365.66

HP,13.3,intel core i5-8250u,8gb,integrated graphics,No Os/ Linux,256gb ssd,355

Lenovo,15.6,intel core i3-1115g4,8 gb,integrated graphics,No Os/ Linux,256gbssd,543.81

Lenovo,14,intel core i3-10110u,8gb,integrated graphics,No Os/ Linux,128gb ssd,447.55

Asus,14,intel celeron n4500,8gb,integrated graphics,No Os/ Linux,64gb emmc,279

Lenovo,15.6,intel core i5-12450h,16gb,integrated graphics,No Os/ Linux,512gb ssd,599

Alurin,14,intel celeron n4020,8gb,integrated graphics,No Os/ Linux,256gb ssd,229.9

Acer,15.6,intel core i5-13420h,16gb,rtx 3050,No Os/ Linux,1tb ssd,759

HP,15.6,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,628.99

MSI,17.3,intel core i7-13700h,16gb,rtx 4070,No Os/ Linux,1tb ssd,1399

Asus,14,intel core i7-1360p,16gb,integrated graphics,No Os/ Linux,512gb ssd,1259.01

Acer,15.6,intel celeron n100,8gb,integrated graphics,No Os/ Linux,256gb ssd,276.84

HP,15.6,intel celeron n4500,8gb,integrated graphics,No Os/ Linux,256gb ssd,454.48

HP,13.3,intel core i5-8265u,8gb,integrated graphics,No Os/ Linux,256gb ssd,384.99

Lenovo,11.6,intel celeron n4120,4gb,integrated graphics,No Os/ Linux,128gb ssd,590.56

Asus,14,intel core i3-1215u,8gb,integrated graphics,No Os/ Linux,256gb ssd,1492.92

Acer,15.6,amd ryzen 3 7320u,8gb,integrated graphics,No Os/ Linux,256gb ssd,358.13

HP,14,amd 3020e,4gb,integrated graphics,No Os/ Linux,64gb emmc,249

Lenovo,11.6,amd 3015e,4gb,integrated graphics,No Os/ Linux,128gb ssd,508.51

Lenovo,11.6,intel celeron n4120,4gb,integrated graphics,No Os/ Linux,32gb,586.07

Lenovo,15.6,amd ryzen 7 5700u,8gb,integrated graphics,No Os/ Linux,512gb ssd,763.95

Asus,14,m3-8100y,8gb,integrated graphics,No Os/ Linux,64gb emmc,299

HP,15.6,amd ryzen 3 5300u,8gb,integrated graphics,No Os/ Linux,256gb ssd,533.94

Lenovo,11.6,intel celeron n4020,4gb,integrated graphics,No Os/ Linux,128gb ssd,388.38

Lenovo,15.6,amd ryzen 3 5300u,8gb,integrated graphics,No Os/ Linux,256gb ssd,364.4

HP,15.6,intel celeron n4500,8gb,integrated graphics,No Os/ Linux,256gb ssd,462

HP,15.6,amd ryzen 3 5300u,8gb,integrated graphics,No Os/ Linux,256gb ssd,811.02

Lenovo,14,amd 3020e,4gb,integrated graphics,No Os/ Linux,256gb ssd,357.55

Lenovo,14,intel core i5-8350u,8gb,integrated graphics,No Os/ Linux,256gb ssd,370

Asus,15.6,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,512gb ssd,999

Lenovo,15.6,amd 3020e,4gb,integrated graphics,No Os/ Linux,256gb ssd,321.99

Lenovo,15.6,intel celeron n4020,4gb,integrated graphics,No Os/ Linux,256gb ssd,273.52

Dell,14,intel core i5-8350u,8gb,integrated graphics,No Os/ Linux,256gb ssd,373.76

Lenovo,15.6,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,256gb ssd,568.4

Medion,15.6,amd ryzen 7 3700u,8 gb,integrated graphics,No Os/ Linux,512gb ssd,399.94

Apple,13.3,macbook air i5,4gb,integrated graphics,MacOs,128gb,260.99

HP,15.6,intel core i7-1255u,8gb,integrated graphics,No Os/ Linux,512gb ssd,658.26

Lenovo,11.6,amd a4-9120c,4gb,integrated graphics,No Os/ Linux,32gb,502.82

Lenovo,14,intel core i5-4300u,8gb,integrated graphics,No Os/ Linux,256gb ssd,236.84

Samsung,12.4,intel celeron n4500,4gb,integrated graphics,No Os/ Linux,64gb,505.33

Lenovo,11.6,amd 3015ce,4gb,integrated graphics,No Os/ Linux,32gb emmc,326.27

Medion,15.6,amd ryzen 3 3200u,8 gb,integrated graphics,No Os/ Linux,256 gb ssd,506.32

Primux,15.6,amd ryzen 3 3200u,8gb,integrated graphics,No Os/ Linux,256gb ssd,323.33

Acer,15.6,amd ryzen 5 7520u,8gb,integrated graphics,No Os/ Linux,512gb ssd,514.02

Acer,15.6,amd ryzen 9 5900hx,32gb,rtx 3080,No Os/ Linux,1tb ssd,2339

Acer,15.6,intel core i7-12700h,16gb,rtx 3050ti,No Os/ Linux,512gb ssd,806.65

HP,14,intel core i7-1355u,16gb,integrated graphics,No Os/ Linux,512gb ssd,1124.39

Lenovo,14,intel celeron n4020,8gb,integrated graphics,No Os/ Linux,64gb emmc,486.78

Medion,14,intel core i3-1005g1,4gb,integrated graphics,No Os/ Linux,128gb ssd,271.43

Razer,15.6,intel core i7-12800h,16gb,rtx 3070ti,No Os/ Linux,1tb ssd,3932.81

Asus,16,intel core i9-13980hx,32gb,rtx 4070,No Os/ Linux,1tb ssd,2398.98

Lenovo,15.6,intel core i5-12450h,16gb,integrated graphics,No Os/ Linux,512gb ssd,599

Alurin,14,intel celeron n4020,8gb,integrated graphics,No Os/ Linux,256gb ssd,229.9

Acer,15.6,intel core i5-13420h,16gb,rtx 3050,No Os/ Linux,1tb ssd,759

HP,15.6,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,628.99

MSI,17.3,intel core i7-13700h,16gb,rtx 4070,No Os/ Linux,1tb ssd,1399

Asus,14,intel core i7-1360p,16gb,integrated graphics,No Os/ Linux,512gb ssd,1259.01

Acer,15.6,intel celeron n100,8gb,integrated graphics,No Os/ Linux,256gb ssd,559.04

HP,15.6,intel core i7-1195g7,8gb,integrated graphics,No Os/ Linux,512gb ssd,685.4

HP,17.3,intel core i7-13700hx,32gb,rtx 4080,No Os/ Linux,1tb ssd,2549

MSI,16,intel core ultra 7 155h,16gb,rtx 4050,No Os/ Linux,1tb ssd,1899

MSI,17.3,intel core i9-13900h,32gb,rtx 4090,No Os/ Linux,1tb ssd,3199

Asus,16,intel core i9-13900h,32gb,rtx 4070,No Os/ Linux,2tb ssd,3199

HP,15.6,amd ryzen 7 5700u,8gb,integrated graphics,No Os/ Linux,512gb ssd,615.39

MSI,15.6,amd ryzen 7 5825u,16gb,integrated graphics,No Os/ Linux,512gb ssd,839.54

MSI,13.3,intel core ultra 7 155h,16gb,integrated graphics,No Os/ Linux,1tb ssd,1399

MSI,15.6,intel core i7-13700h,16gb,rtx 4060,No Os/ Linux,1tb ssd,1599

MSI,15.6,intel core i7-13700h,16gb,rtx 4070,No Os/ Linux,1tb ssd,1649

MSI,16,intel core i9-13980hx,32gb,rtx 4090,No Os/ Linux,2tb ssd,3199

MSI,17.3,intel core i9-12900hx,64gb,rtx 3080ti,No Os/ Linux,2tb ssd,2840.35

Asus,14,intel core i5-1240p,8gb,integrated graphics,No Os/ Linux,256gb ssd,771.4

Acer,15.6,intel celeron n100,8gb,integrated graphics,No Os/ Linux,256gb ssd,240.4

Acer,15.6.1200,intel core i7-1195g7,16gb,integrated graphics,No Os/ Linux,512gb ssd,1220.51

Gigabyte,14,intel core i7-13700h,16gb,rtx 4050,No Os/ Linux,1tb ssd,1969

HP,15.6,intel core i3-n305,8gb,integrated graphics,No Os/ Linux,256gb ssd,448.99

HP,17.3,intel core i7-12700h,16gb,rtx 3070ti,No Os/ Linux,1tb ssd,1999

LG,15,intel core i7-1360p,16gb,integrated graphics,No Os/ Linux,512gb ssd,1799

Lenovo,15.6,intel core i7-1255u,8 gb,integrated graphics,No Os/ Linux,512gb ssd,667.26

Lenovo,15.6,intel core i7-1255u,8gb,integrated graphics,No Os/ Linux,512gb ssd,587.99

MSI,16,intel core i7-13700h,16gb,rtx 4050,No Os/ Linux,1tb ssd,1499

Thomson,14.1,intel celeron n4020,4gb,integrated graphics,No Os/ Linux,64gb emmc,227.33

Asus,16,intel core i7-12850hx,16gb,rtx a2000,No Os/ Linux,512gb ssd,1669

Asus,14,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,512gb ssd,1155.87

Asus,14,amd ryzen 5 7530u,16gb,integrated graphics,No Os/ Linux,512gb ssd,801.9

Acer,14,intel celeron n4500,8gb,integrated graphics,No Os/ Linux,64gb emmc,289.98

Acer,15.6,amd ryzen 7 5800h,32gb,rtx 3080,No Os/ Linux,1tb ssd,1599

Apple,13.6,m2,16gb,gpu deca core,MacOs,512gb ssd,1968.86

