Company,Inches,Cpu,Ram,Gpu,OpSys,SSD,Price

Alurin,14.11,intel core i5-1155g7,8gb,integrated graphics,Windows,500gb ssd,539.9

MSI,16,intel core i7-1360p,32gb,rtx 4060,No Os/ Linux,1tb ssd,1979

Dell,15.6,intel core i5-1135g7,8 gb,integrated graphics,No Os/ Linux,256gb ssd,699

MSI,15.6,intel core i7-13620h,32gb,integrated graphics,No Os/ Linux,1tb ssd,799

MSI,16,intel core i7-13700hx,32gb,rtx 4070,No Os/ Linux,1tb ssd,2401.32

Razer,16,intel core i9-13950hx,16gb,rtx 4070,No Os/ Linux,1tb ssd,3199

Apple,15.3,m2,8gb,gpu deca core,MacOs,512gb ssd,1649

Asus,16,intel core i9-13900h,32gb,rtx 4070,No Os/ Linux,1tb ssd,2699

Apple,16,m3 pro 12 n cleos,36gb,gpu 18 n cleos,MacOs,512gb ssd,3459

MSI,16,intel core i7-13700hx,16gb,rtx 4060,No Os/ Linux,1tb ssd,2099

Asus,16,intel core i7-12700h,32gb,rtx 4050,No Os/ Linux,1tb ssd,1599

Acer,14,intel core i7-12700h,16gb,rtx 3060,No Os/ Linux,512gb ssd,1149

Apple,15.3,m2,8gb,gpu deca core,MacOs,256gb ssd,1439

HP,15.6,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,512gbssd,578.11

Apple,15.3,m2,16gb,gpu deca core,MacOs,1tb ssd,2168.86

MSI,16,intel core i7-13700h,16gb,rtx 4060,No Os/ Linux,1tb ssd,1699

HP,15.6,amd ryzen 5 5500u,16gb,integrated graphics,No Os/ Linux,512gb ssd,519.01

Apple,15.3,m2,8gb,gpu deca core,MacOs,256gb ssd,1439

MSI,17,intel core i9-13980hx,64gb,rtx 4070,No Os/ Linux,2tb ssd,2999

Lenovo,15.6,intel core i5-12450h,16gb,integrated graphics,No Os/ Linux,512gb ssd,599

Alurin,14,intel celeron n4020,8gb,integrated graphics,No Os/ Linux,256gb ssd,229.9

Acer,15.6,intel core i5-13420h,16gb,rtx 3050,No Os/ Linux,1tb ssd,759

HP,15.6,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,628.99

MSI,17.3,intel core i7-13700h,16gb,rtx 4070,No Os/ Linux,1tb ssd,1399

Asus,14,intel core i7-1360p,16gb,integrated graphics,No Os/ Linux,512gb ssd,1259.01

Alurin,15.6.11,amd ryzen 7 5700u,16gb,integrated graphics,Windows,1tb ssd,739.9

MSI,15.6,intel core i7-1355u,16gb,integrated graphics,No Os/ Linux,512gb ssd,729

MSI,17,intel core i9-13980hx,32gb,rtx 4080,No Os/ Linux,2tb ssd,2999

Apple,15.3,m2,8gb,gpu deca core,MacOs,512gb ssd,1649

Razer,18,intel core i9-13950hx,32gb,rtx 4080,No Os/ Linux,1tb ssd,4409

Apple,15.3,m2,8gb,gpu deca core,MacOs,512gb ssd,1719

Medion,15.6,intel core i5-10210u,8gb,integrated graphics,No Os/ Linux,512gb ssd,408.99

Alurin,15.6,intel core i5-1155g7,8gb,integrated graphics,No Os/ Linux,256gb ssd,399.91

Medion,15.6,intel core i7-13700hx,16gb,rtx 4060,No Os/ Linux,1tb ssd,1599

HP,15.6,intel core i7-1255u,16gb,integrated graphics,No Os/ Linux,512gb ssd,649

Microsoft,13,intel core i7-1255u,16gb,integrated graphics,No Os/ Linux,256gb ssd,1739

Apple,15.3,m2,16gb,gpu deca core,MacOs,256gb ssd,1748.99

LG,17,intel core i7-1360p,16gb,integrated graphics,No Os/ Linux,512gb ssd,1399

LG,17,intel core i7-1360p,16gb,integrated graphics,No Os/ Linux,512gb ssd,1299

Lenovo,15.6,intel core i7-13620h,16 gb,rtx4060,No Os/ Linux,512gb ssd,1359

Dell,15.6,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,512gb ssd,649

MSI,13.4,intel core i7-1360p,32gb,integrated graphics,No Os/ Linux,1tb ssd,1599

Microsoft,13.5,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,512gb ssd,1419

Apple,15.3,m2,8gb,gpu deca core,MacOs,256gb ssd,1439

HP,16.1,intel core i7-13700hx,32gb,rtx 4080,No Os/ Linux,1tb ssd,2599

HP,17.3,intel core i7-13700hx,32gb,rtx 4070,No Os/ Linux,1tb ssd,1689

HP,14,amd ryzen 9 pro 7940hs,32gb,integrated graphics,No Os/ Linux,1tb ssd,1699

HP,15.6,intel core i7-13700h,16gb,rtx 4050,No Os/ Linux,512gb ssd,939

Lenovo,17.3,amd ryzen 5 5625u,8gb,integrated graphics,No Os/ Linux,512gb ssd,689

Lenovo,15.6,intel core i5-13420h,8gb,integrated graphics,No Os/ Linux,512gb ssd,589

Alurin,15.6.11,intel core i5-1155g7,16gb,integrated graphics,Windows,1tb ssd,599.91

Dell,15.6,intel core i5-1135g7,8 gb,integrated graphics,No Os/ Linux,512gb ssd,538.99

PcCom,15.6,intel core i7-13700h,16gb,rtx 4060,No Os/ Linux,1tb ssd,1339.91

LG,15,intel core i7-1360p,16gb,integrated graphics,No Os/ Linux,512gb ssd,1638.99

Lenovo,15.6,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,512gb ssd,617

HP,15.6,intel core i7-1355u,16gb,integrated graphics,No Os/ Linux,512gb ssd,799

HP,13.5,intel core i7-1355u,16 gb,integrated graphics,No Os/ Linux,1tb ssd,1699

MSI,14,intel core i7-1360p,16gb,integrated graphics,No Os/ Linux,1tb ssd,1399

Asus,16,intel core i9-13980hx,32gb,rtx 4090,No Os/ Linux,2tb ssd,3698.99

Gigabyte,15.6,intel core i7-12700h,16gb,rtx 3070,No Os/ Linux,1tb ssd,1499

Lenovo,16,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,512gb ssd,933.95

Asus,16,intel core i9-13900h,32gb,rtx 4080,No Os/ Linux,1tb ssd,2799

